,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
0,0.5,0.964,2,-4.19,1,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,audio_features,7ncPjJBktLEOpstY5JOUMK,spotify:track:7ncPjJBktLEOpstY5JOUMK,https://api.spotify.com/v1/tracks/7ncPjJBktLEOpstY5JOUMK,https://api.spotify.com/v1/audio-analysis/7ncPjJBktLEOpstY5JOUMK,190607,4,一途,70,j-pop
1,0.548,0.935,9,-4.579,0,0.123,0.0215,4.28e-06,0.0549,0.713,182.997,audio_features,0s1jSiVj6hR0tLWRFJoea4,spotify:track:0s1jSiVj6hR0tLWRFJoea4,https://api.spotify.com/v1/tracks/0s1jSiVj6hR0tLWRFJoea4,https://api.spotify.com/v1/audio-analysis/0s1jSiVj6hR0tLWRFJoea4,215800,4,ええじゃないか,30,city pop
2,0.457,0.875,6,-4.611,0,0.143,0.000573,0.0,0.11,0.804,161.99,audio_features,5yZoR6E5TBREAYfLhLRNh8,spotify:track:5yZoR6E5TBREAYfLhLRNh8,https://api.spotify.com/v1/tracks/5yZoR6E5TBREAYfLhLRNh8,https://api.spotify.com/v1/audio-analysis/5yZoR6E5TBREAYfLhLRNh8,174223,4,玄ノ歌,27,city pop
3,0.558,0.953,6,-3.092,0,0.0673,0.000363,0.0,0.115,0.781,122.024,audio_features,2kbbbiM2xmbdL85SALO4Ed,spotify:track:2kbbbiM2xmbdL85SALO4Ed,https://api.spotify.com/v1/tracks/2kbbbiM2xmbdL85SALO4Ed,https://api.spotify.com/v1/audio-analysis/2kbbbiM2xmbdL85SALO4Ed,263587,4,ハイパーベンチレイション,42,j-pop
4,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,audio_features,1jDJFeK9x3OZboIAHsY9k2,spotify:track:1jDJFeK9x3OZboIAHsY9k2,https://api.spotify.com/v1/tracks/1jDJFeK9x3OZboIAHsY9k2,https://api.spotify.com/v1/audio-analysis/1jDJFeK9x3OZboIAHsY9k2,183440,4,I'm Still Standing,84,glam rock
5,0.415,0.986,2,-2.195,0,0.229,0.0045,0.0,0.0404,0.313,156.019,audio_features,4qcXBDltsFoCFeERHYfFKE,spotify:track:4qcXBDltsFoCFeERHYfFKE,https://api.spotify.com/v1/tracks/4qcXBDltsFoCFeERHYfFKE,https://api.spotify.com/v1/audio-analysis/4qcXBDltsFoCFeERHYfFKE,200293,4,Out of Control,48,funk metal
6,0.709,0.962,1,-0.753,1,0.106,0.153,1.77e-06,0.621,0.767,128.013,audio_features,0871AdnvzzSGr5XdTJaDHC,spotify:track:0871AdnvzzSGr5XdTJaDHC,https://api.spotify.com/v1/tracks/0871AdnvzzSGr5XdTJaDHC,https://api.spotify.com/v1/audio-analysis/0871AdnvzzSGr5XdTJaDHC,210347,4,踊,62,japanese teen pop
7,0.493,0.928,8,-4.066,1,0.172,8.55e-05,0.000232,0.197,0.782,147.057,audio_features,441kythlS8mXWveX0pcmHr,spotify:track:441kythlS8mXWveX0pcmHr,https://api.spotify.com/v1/tracks/441kythlS8mXWveX0pcmHr,https://api.spotify.com/v1/audio-analysis/441kythlS8mXWveX0pcmHr,193147,4,トオトロジイダウトフル,35,vocaloid
8,0.628,0.942,1,-3.954,0,0.155,0.0629,0.0,0.315,0.65,156.056,audio_features,4lEk6fyJu7LLPenqL0Raj5,spotify:track:4lEk6fyJu7LLPenqL0Raj5,https://api.spotify.com/v1/tracks/4lEk6fyJu7LLPenqL0Raj5,https://api.spotify.com/v1/audio-analysis/4lEk6fyJu7LLPenqL0Raj5,196285,4,阿修羅ちゃん,59,japanese teen pop
9,0.538,0.905,9,-3.704,1,0.0426,8.48e-05,7.43e-05,0.075,0.759,95.061,audio_features,1w84AR36E68ubNG3pgTgc7,spotify:track:1w84AR36E68ubNG3pgTgc7,https://api.spotify.com/v1/tracks/1w84AR36E68ubNG3pgTgc7,https://api.spotify.com/v1/audio-analysis/1w84AR36E68ubNG3pgTgc7,197295,4,DEAD STROKE,39,
10,0.552,0.905,9,-4.992,0,0.101,0.032,0.0,0.345,0.896,169.929,audio_features,6TJnkjQL9Ar8JQVrGiBhVf,spotify:track:6TJnkjQL9Ar8JQVrGiBhVf,https://api.spotify.com/v1/tracks/6TJnkjQL9Ar8JQVrGiBhVf,https://api.spotify.com/v1/audio-analysis/6TJnkjQL9Ar8JQVrGiBhVf,172471,3,Good-bye Declaration,51,vocaloid
11,0.672,0.942,0,-4.682,1,0.0552,0.0752,0.000134,0.0399,0.775,159.943,audio_features,6qq26pDtzfP8nSsfRFRBmG,spotify:track:6qq26pDtzfP8nSsfRFRBmG,https://api.spotify.com/v1/tracks/6qq26pDtzfP8nSsfRFRBmG,https://api.spotify.com/v1/audio-analysis/6qq26pDtzfP8nSsfRFRBmG,165375,4,Hate Killer,40,
12,0.496,0.91,6,-3.681,1,0.05,0.00446,0.0,0.33,0.839,179.973,audio_features,2Ckd8hGYJ9T05qJGWddhAN,spotify:track:2Ckd8hGYJ9T05qJGWddhAN,https://api.spotify.com/v1/tracks/2Ckd8hGYJ9T05qJGWddhAN,https://api.spotify.com/v1/audio-analysis/2Ckd8hGYJ9T05qJGWddhAN,225746,4,心臓,53,vocaloid
13,0.491,0.963,5,-3.823,0,0.167,0.00101,0.0,0.392,0.49,160.174,audio_features,4TSjehsTwIal0zwfQwFjlD,spotify:track:4TSjehsTwIal0zwfQwFjlD,https://api.spotify.com/v1/tracks/4TSjehsTwIal0zwfQwFjlD,https://api.spotify.com/v1/audio-analysis/4TSjehsTwIal0zwfQwFjlD,164800,4,TOMB,42,vocaloid
14,0.631,0.838,5,-7.607,0,0.0607,0.0101,2.49e-05,0.132,0.838,109.943,audio_features,0xly7rh0DZqVxI8Jmn7sid,spotify:track:0xly7rh0DZqVxI8Jmn7sid,https://api.spotify.com/v1/tracks/0xly7rh0DZqVxI8Jmn7sid,https://api.spotify.com/v1/audio-analysis/0xly7rh0DZqVxI8Jmn7sid,140527,4,MACHINEGUN POEM DOLL,48,anime rock
15,0.74,0.748,10,-9.292,0,0.0492,0.00374,0.0837,0.2,0.845,109.964,audio_features,4LPrZXQXoyPVFuJ1HnfcsJ,spotify:track:4LPrZXQXoyPVFuJ1HnfcsJ,https://api.spotify.com/v1/tracks/4LPrZXQXoyPVFuJ1HnfcsJ,https://api.spotify.com/v1/audio-analysis/4LPrZXQXoyPVFuJ1HnfcsJ,218216,4,5 O,34,vocaloid
16,0.778,0.909,8,-4.193,1,0.0412,0.0302,0.0321,0.379,0.85,135.02,audio_features,3kKrLW9Fi7FdPi5oeLER7U,spotify:track:3kKrLW9Fi7FdPi5oeLER7U,https://api.spotify.com/v1/tracks/3kKrLW9Fi7FdPi5oeLER7U,https://api.spotify.com/v1/audio-analysis/3kKrLW9Fi7FdPi5oeLER7U,141778,4,Shadow Shadow,50,vocaloid
17,0.52,0.935,4,-6.866,0,0.0538,8.87e-05,0.79,0.342,0.442,95.009,audio_features,1e4fxvSKMi5qLpbjNeH2IH,spotify:track:1e4fxvSKMi5qLpbjNeH2IH,https://api.spotify.com/v1/tracks/1e4fxvSKMi5qLpbjNeH2IH,https://api.spotify.com/v1/audio-analysis/1e4fxvSKMi5qLpbjNeH2IH,230526,4,System Failure,43,otacore
18,0.408,0.933,5,-5.028,0,0.152,3.21e-05,0.486,0.179,0.264,169.9,audio_features,0z6IIwef5zNtbwuIW4pmFs,spotify:track:0z6IIwef5zNtbwuIW4pmFs,https://api.spotify.com/v1/tracks/0z6IIwef5zNtbwuIW4pmFs,https://api.spotify.com/v1/audio-analysis/0z6IIwef5zNtbwuIW4pmFs,159439,1,Impatience,42,boston hip hop
19,0.364,0.79,1,-5.9,1,0.069,0.00277,0.88,0.169,0.152,139.917,audio_features,7j8fGwXq9yjqrKvsFV1kCF,spotify:track:7j8fGwXq9yjqrKvsFV1kCF,https://api.spotify.com/v1/tracks/7j8fGwXq9yjqrKvsFV1kCF,https://api.spotify.com/v1/audio-analysis/7j8fGwXq9yjqrKvsFV1kCF,243173,4,Your Battle is My Battle,38,
20,0.697,0.79,10,-6.488,1,0.0536,0.00185,0.0,0.288,0.645,116.951,audio_features,2z6dMM2kJzoLHyeDg8xtp1,spotify:track:2z6dMM2kJzoLHyeDg8xtp1,https://api.spotify.com/v1/tracks/2z6dMM2kJzoLHyeDg8xtp1,https://api.spotify.com/v1/audio-analysis/2z6dMM2kJzoLHyeDg8xtp1,184773,4,Danger,17,kawaii edm
21,0.572,0.864,1,-4.395,1,0.0937,0.0509,0.0,0.143,0.227,192.104,audio_features,6FsDEEX1XVzEWhwnzkeWpF,spotify:track:6FsDEEX1XVzEWhwnzkeWpF,https://api.spotify.com/v1/tracks/6FsDEEX1XVzEWhwnzkeWpF,https://api.spotify.com/v1/audio-analysis/6FsDEEX1XVzEWhwnzkeWpF,121986,4,Cats On Saturn - Remix,39,
22,0.644,0.905,6,-3.882,0,0.0574,0.0371,0.0,0.0817,0.865,157.972,audio_features,6etPDBQneGrxRy4WkDWCrs,spotify:track:6etPDBQneGrxRy4WkDWCrs,https://api.spotify.com/v1/tracks/6etPDBQneGrxRy4WkDWCrs,https://api.spotify.com/v1/audio-analysis/6etPDBQneGrxRy4WkDWCrs,153202,4,Right Now,13,la pop
23,0.72,0.897,1,-7.077,0,0.0506,0.0754,0.0155,0.0762,0.879,144.021,audio_features,62Gqt9wMEOxTMFzqRxpXjB,spotify:track:62Gqt9wMEOxTMFzqRxpXjB,https://api.spotify.com/v1/tracks/62Gqt9wMEOxTMFzqRxpXjB,https://api.spotify.com/v1/audio-analysis/62Gqt9wMEOxTMFzqRxpXjB,200854,4,The Drunk,47,
24,0.258,0.932,1,-3.978,0,0.084,3.3e-05,0.0599,0.217,0.565,163.864,audio_features,5aobHzcwDnh889XNLkXajw,spotify:track:5aobHzcwDnh889XNLkXajw,https://api.spotify.com/v1/tracks/5aobHzcwDnh889XNLkXajw,https://api.spotify.com/v1/audio-analysis/5aobHzcwDnh889XNLkXajw,166857,4,Bad Citizen,41,brisbane indie
25,0.549,0.849,1,-6.089,1,0.122,0.00108,0.000155,0.141,0.432,96.498,audio_features,3wlyEjZZ6ZU3PsYDLlY21J,spotify:track:3wlyEjZZ6ZU3PsYDLlY21J,https://api.spotify.com/v1/tracks/3wlyEjZZ6ZU3PsYDLlY21J,https://api.spotify.com/v1/audio-analysis/3wlyEjZZ6ZU3PsYDLlY21J,152256,4,DEBT COLLECTOR,50,multidisciplinary
26,0.608,0.699,2,-5.136,0,0.0908,0.053,0.0,0.252,0.411,129.925,audio_features,7hgmbjpcYi7AZT28lteX7o,spotify:track:7hgmbjpcYi7AZT28lteX7o,https://api.spotify.com/v1/tracks/7hgmbjpcYi7AZT28lteX7o,https://api.spotify.com/v1/audio-analysis/7hgmbjpcYi7AZT28lteX7o,235525,4,Needed a Change of Pace,41,multidisciplinary
27,0.278,0.406,2,-7.444,1,0.0332,0.12,0.0,0.0976,0.0924,95.571,audio_features,38POirUtTfpoDWpX8QLiKP,spotify:track:38POirUtTfpoDWpX8QLiKP,https://api.spotify.com/v1/tracks/38POirUtTfpoDWpX8QLiKP,https://api.spotify.com/v1/audio-analysis/38POirUtTfpoDWpX8QLiKP,213805,1,BAD LUCK!,50,multidisciplinary
28,0.509,0.884,2,-4.84,0,0.0485,7.42e-05,0.0203,0.308,0.36,131.209,audio_features,3pyMCe3ShAnk0TzOoVuGsL,spotify:track:3pyMCe3ShAnk0TzOoVuGsL,https://api.spotify.com/v1/tracks/3pyMCe3ShAnk0TzOoVuGsL,https://api.spotify.com/v1/audio-analysis/3pyMCe3ShAnk0TzOoVuGsL,91457,4,ENTER: A BEGINNER'S GUIDE TO FAKING YOUR DEATH,49,multidisciplinary
29,0.724,0.61,0,-4.626,0,0.0695,0.65,0.0,0.153,0.773,154.049,audio_features,3rJEu8LZdav4zROLJynwnj,spotify:track:3rJEu8LZdav4zROLJynwnj,https://api.spotify.com/v1/tracks/3rJEu8LZdav4zROLJynwnj,https://api.spotify.com/v1/audio-analysis/3rJEu8LZdav4zROLJynwnj,206680,4,Gemini,54,french indie pop
30,0.452,0.63,5,-9.417,1,0.0443,0.00369,2.76e-05,0.301,0.11,112.988,audio_features,3E4gPkcqnyaAnv1nrdukwp,spotify:track:3E4gPkcqnyaAnv1nrdukwp,https://api.spotify.com/v1/tracks/3E4gPkcqnyaAnv1nrdukwp,https://api.spotify.com/v1/audio-analysis/3E4gPkcqnyaAnv1nrdukwp,230146,4,The View From Halfway Down - Spotify Singles,35,multidisciplinary
31,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,audio_features,0sTlGEld0h8kIPZaKDYUf4,spotify:track:0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/tracks/0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/audio-analysis/0sTlGEld0h8kIPZaKDYUf4,195121,4,Notion,81,la indie
32,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,audio_features,37y7iDayfwm3WXn5BiAoRk,spotify:track:37y7iDayfwm3WXn5BiAoRk,https://api.spotify.com/v1/tracks/37y7iDayfwm3WXn5BiAoRk,https://api.spotify.com/v1/audio-analysis/37y7iDayfwm3WXn5BiAoRk,173104,4,Dark Red,74,afrofuturism
33,0.576,0.882,6,-4.305,0,0.118,0.00019,0.77,0.0935,0.8,149.964,audio_features,0xpvYlPNa1qIyR7r51dJqQ,spotify:track:0xpvYlPNa1qIyR7r51dJqQ,https://api.spotify.com/v1/tracks/0xpvYlPNa1qIyR7r51dJqQ,https://api.spotify.com/v1/audio-analysis/0xpvYlPNa1qIyR7r51dJqQ,138573,4,spit!,44,anime
34,0.459,0.974,11,-6.441,1,0.0587,1.93e-06,0.557,0.216,0.546,144.986,audio_features,6y87Q8nkhHP2YqowavLdPA,spotify:track:6y87Q8nkhHP2YqowavLdPA,https://api.spotify.com/v1/tracks/6y87Q8nkhHP2YqowavLdPA,https://api.spotify.com/v1/audio-analysis/6y87Q8nkhHP2YqowavLdPA,146333,4,The Only Thing I Know For Real - Maniac Agenda Mix,67,
35,0.398,0.981,2,-3.841,0,0.161,0.00119,0.478,0.337,0.216,159.956,audio_features,6CLFAVCDCc4DZRhnCqhNog,spotify:track:6CLFAVCDCc4DZRhnCqhNog,https://api.spotify.com/v1/tracks/6CLFAVCDCc4DZRhnCqhNog,https://api.spotify.com/v1/audio-analysis/6CLFAVCDCc4DZRhnCqhNog,139320,4,A Soul Can't Be Cut - Platinum Mix,49,
